"district","total_amount","min_price","max_price","avg_price","avg_distance_sea"
Alanya(Center),219,715.91,8529.41,2593.73,941.0
Kargıcak,126,903.85,6250.0,2291.02,1023.0
Kestel,101,732.14,5545.45,2196.79,391.0
Okurcalar,5,1646.15,2672.73,2147.33,292.0
Oba,242,714.0,6568.63,2092.01,1594.0
Konaklı,24,914.29,4872.73,2044.53,490.0
Türkler,16,1034.48,3611.11,2043.47,447.0
Tosmur,65,669.7,4577.59,2009.05,374.0
Cikcilli,53,718.18,3718.18,1828.08,1208.0
Gazipaşa,44,877.27,2933.33,1818.77,1482.0
Mahmutlar,394,700.0,5227.27,1705.63,637.0
Demirtaş,31,1000.0,2608.7,1686.2,1290.0
Avsallar,133,694.0,4469.39,1678.42,1158.0
Payallar,32,978.95,2481.82,1532.6,1783.0
